CD_CIDADE;NM_CIDADE;ESTADO
2931;BALDIM;MG
2493;BALIZA;GO
8904;BALIZA;RS
9501;BALNEARIO ARROIO DO SILVA;SC
9502;BALNEARIO BARRA DO SUL;SC
9503;BALNEARIO CAMBORIU;SC
9504;BALNEARIO GAIVOTA;SC
9505;BALNEARIO MORRO DOS CONVENTOS;SC
9261;BALNEARIO PICARRAS;SC
8905;BALNEARIO PINHAL;RS
8713;BALNEARIO RINCAO;SC
6444;BALSA NOVA;PR
3777;BALSAMO;MS
10321;BALSAMO;SP
581;BALSAMO;AL
2769;BALSAS;MA
7431;BALTAZAR;RJ
256;BALUARTE;BA
2932;BAMBUI;MG
1692;BANABUIU;CE
10322;BANANAL;SP
6385;BANANAS;PR
5307;BANANEIRAS;PB
582;BANANEIRAS;AL
257;BANCO CENTRAL;BA
2933;BANDEIRA;MG
1558;BANDEIRA;CE
258;BANDEIRA DO ALMADA;BA
259;BANDEIRA DO COLONIA;BA
2934;BANDEIRA DO SUL;MG
8681;BANDEIRANTE;SC
6284;BANDEIRANTES;PR
4533;BANDEIRANTES;MS
2935;BANDEIRANTES;MG
2494;BANDEIRANTES;GO
6285;BANDEIRANTES D'OESTE;PR
9761;BANDEIRANTES D'OESTE;SP
10577;BANDEIRANTES DO TOCANTINS;TO
8328;BANDEIRINHA;RS
260;BANDIACU;BA
6445;BANHADO;PR
8906;BANHADO DO COLEGIO;RS
4998;BANNACH;PA
7432;BANQUETE;RJ
261;BANZAE;BA
1404;BARACHO;CE
8907;BARAO;RS
9762;BARAO ATALIBA NOGUEIRA;SP
10323;BARAO DE ANTONINA;SP
1559;BARAO DE AQUIRAZ;CE
2936;BARAO DE COCAIS;MG
8908;BARAO DE COTEGIPE;RS
10324;BARAO DE GERALDO;SP
2770;BARAO DE GRAJAU;MA
7433;BARAO DE JUPARANA;RJ
6446;BARAO DE LUCENA;PR
4878;BARAO DE MELGACO;MT
3082;BARAO DE MONTE ALTO;MG
7857;BARAO DE SERRA BRANCA;RN
2771;BARAO DE TROMAI;MA
8909;BARAO DO TRIUNFO;RS
5308;BARAUNA;PB
7858;BARAUNA;RN
